Time mS,Rate,Total
1021566,0.04457894736842105,6.659114
1021584,0.04705555555555556,6.659961
1021603,0.04457894736842105,6.660808
1021622,0.04457894736842105,6.661655
1021640,0.04705555555555556,6.662502
1021659,0.04457894736842105,6.663349
1021678,0.04457894736842105,6.664196
1021697,0.04457894736842105,6.665043
1021715,0.04705555555555556,6.66589
1021735,0.04235,6.6667369999999995
1021754,0.04457894736842105,6.667584
1021772,0.04705555555555556,6.668431
1021791,0.04457894736842105,6.669278
1021810,0.04457894736842105,6.670125
1021829,0.04457894736842105,6.670972
1021848,0.04457894736842105,6.671819
1021867,0.04457894736842105,6.6726659999999995
1021886,0.04457894736842105,6.673513
1021905,0.04457894736842105,6.67436
1021924,0.04457894736842105,6.675207
1021943,0.04457894736842105,6.676054
1021962,0.04457894736842105,6.676901
1021980,0.04705555555555556,6.677748
1021999,0.04457894736842105,6.678595
1022018,0.04457894736842105,6.679442
1022037,0.04457894736842105,6.680289
1022055,0.04705555555555556,6.6811359999999995
1022075,0.04235,6.681983
1022093,0.04705555555555556,6.68283
1022111,0.04705555555555556,6.683677
1022130,0.04457894736842105,6.684524
1022149,0.04457894736842105,6.685371
1022167,0.04705555555555556,6.686218
1022187,0.04235,6.687065
1022205,0.04705555555555556,6.687912
1022224,0.04457894736842105,6.688759
1022243,0.04457894736842105,6.6896059999999995
1022262,0.04457894736842105,6.690453
1022280,0.04705555555555556,6.6913
1022299,0.04457894736842105,6.692147
1022317,0.04705555555555556,6.692994
1022336,0.04457894736842105,6.693841
1022355,0.04457894736842105,6.694688
1022373,0.04705555555555556,6.695535
1022392,0.04457894736842105,6.696382
1022410,0.04705555555555556,6.697229
1022429,0.04457894736842105,6.6980759999999995
1022447,0.04705555555555556,6.698923
1022466,0.04457894736842105,6.69977
1022484,0.04705555555555556,6.700617
1022503,0.04457894736842105,6.701464
1022522,0.04457894736842105,6.702311
1022540,0.04705555555555556,6.703158
1022558,0.04705555555555556,6.7040049999999995
1022578,0.04235,6.704852
1022596,0.04705555555555556,6.705699
1022614,0.04705555555555556,6.706546
1022633,0.04457894736842105,6.707393
1022651,0.04705555555555556,6.70824
1022670,0.04457894736842105,6.709087
1022689,0.04457894736842105,6.709934
1022707,0.04705555555555556,6.710781
1022725,0.04705555555555556,6.711628
1022745,0.04235,6.7124749999999995
1022763,0.04705555555555556,6.713322
1022781,0.04705555555555556,6.714169
1022801,0.04235,6.715016
1022819,0.04705555555555556,6.715863
1022838,0.04457894736842105,6.71671
1022856,0.04705555555555556,6.717557
1022874,0.04705555555555556,6.718404
1022893,0.04457894736842105,6.719251
1022912,0.04457894736842105,6.720098
1022930,0.04705555555555556,6.7209449999999995
1022948,0.04705555555555556,6.721792
1022968,0.04235,6.722639
1022985,0.049823529411764704,6.723486
1023004,0.04457894736842105,6.724333
1023023,0.04457894736842105,6.72518
1023042,0.04457894736842105,6.726027
1023060,0.04705555555555556,6.726874
1023079,0.04457894736842105,6.727721
1023098,0.04457894736842105,6.728568
1023117,0.04457894736842105,6.7294149999999995
1023136,0.04457894736842105,6.730262
1023154,0.04705555555555556,6.731109
1023172,0.04705555555555556,6.731956
1023191,0.04457894736842105,6.732803
1023208,0.049823529411764704,6.73365
1023226,0.04705555555555556,6.734497
1023246,0.04235,6.7353439999999996
1023263,0.049823529411764704,6.736191
1023282,0.04457894736842105,6.737038
1023301,0.04457894736842105,6.737885
1023319,0.04705555555555556,6.738732
1023337,0.04705555555555556,6.739579
1023356,0.04457894736842105,6.740426
1023374,0.04705555555555556,6.741273
1023393,0.04457894736842105,6.74212
1023411,0.04705555555555556,6.742967
1023429,0.04705555555555556,6.7438139999999995
1023447,0.04705555555555556,6.744661
1023466,0.04457894736842105,6.745508
1023484,0.04705555555555556,6.746355
1023503,0.04457894736842105,6.747202
1023522,0.04457894736842105,6.748049
1023539,0.049823529411764704,6.748896
1023558,0.04457894736842105,6.749743
1023577,0.04457894736842105,6.75059
1023595,0.04705555555555556,6.751437
1023613,0.04705555555555556,6.7522839999999995
1023632,0.04457894736842105,6.753131
1023650,0.04705555555555556,6.753978
1023668,0.04705555555555556,6.754825
1023687,0.04457894736842105,6.755672
1023705,0.04705555555555556,6.756519
1023724,0.04457894736842105,6.757366
1023743,0.04457894736842105,6.758213
1023761,0.04705555555555556,6.75906
1023779,0.04705555555555556,6.759907
1023798,0.04457894736842105,6.7607539999999995
1023816,0.04705555555555556,6.761601
1023835,0.04457894736842105,6.762448
1023854,0.04457894736842105,6.763295
1023872,0.04705555555555556,6.764142
1023891,0.04457894736842105,6.764989
1023910,0.04457894736842105,6.765836
1023928,0.04705555555555556,6.766683
1023945,0.049823529411764704,6.76753
1023964,0.04457894736842105,6.768377
1023982,0.04705555555555556,6.7692239999999995
1024001,0.04457894736842105,6.770071
1024020,0.04457894736842105,6.770918
1024038,0.04705555555555556,6.771765
1024056,0.04705555555555556,6.772612
1024075,0.04457894736842105,6.773459
1024092,0.049823529411764704,6.774306
1024110,0.04705555555555556,6.7751529999999995
1024130,0.04235,6.776
1024148,0.04705555555555556,6.776847
1024167,0.04457894736842105,6.777694
1024185,0.04705555555555556,6.778541
1024203,0.04705555555555556,6.779388
1024222,0.04457894736842105,6.780235
1024240,0.04705555555555556,6.781082
1024258,0.04705555555555556,6.781929
1024277,0.04457894736842105,6.782776
1024296,0.04457894736842105,6.7836229999999995
1024314,0.04705555555555556,6.78447
1024332,0.04705555555555556,6.785317
1024351,0.04457894736842105,6.786164
1024368,0.049823529411764704,6.787011
1024386,0.04705555555555556,6.787858
1024405,0.04457894736842105,6.788705
1024423,0.04705555555555556,6.789552
1024442,0.04457894736842105,6.790399
1024461,0.04457894736842105,6.791246
1024478,0.049823529411764704,6.7920929999999995
1024496,0.04705555555555556,6.79294
1024514,0.04705555555555556,6.793787
1024532,0.04705555555555556,6.794634
1024550,0.04705555555555556,6.795481
1024569,0.04457894736842105,6.796328
1024587,0.04705555555555556,6.797175
1024605,0.04705555555555556,6.798022
1024624,0.04457894736842105,6.798869
1024642,0.04705555555555556,6.799716
1024660,0.04705555555555556,6.8005629999999995
1024679,0.04457894736842105,6.80141
1024697,0.04705555555555556,6.802257
1024716,0.04457894736842105,6.803104
1024734,0.04705555555555556,6.803951
1024752,0.04705555555555556,6.804798
1024771,0.04457894736842105,6.805645
1024790,0.04457894736842105,6.8064919999999995
1024808,0.04705555555555556,6.807339
1024827,0.04457894736842105,6.808186
1024846,0.04457894736842105,6.809033
1024865,0.04457894736842105,6.80988
1024883,0.04705555555555556,6.810727
1024902,0.04457894736842105,6.811574
1024920,0.04705555555555556,6.812421
1024938,0.04705555555555556,6.813268
1024957,0.04457894736842105,6.814115
1024975,0.04705555555555556,6.8149619999999995
1024993,0.04705555555555556,6.815809
1025011,0.04705555555555556,6.816656
1025030,0.04457894736842105,6.817503
1025048,0.04705555555555556,6.81835
1025067,0.04457894736842105,6.819197
1025085,0.04705555555555556,6.820044
1025103,0.04705555555555556,6.820891
1025122,0.04457894736842105,6.821738
1025139,0.049823529411764704,6.822585
1025158,0.04457894736842105,6.8234319999999995
1025177,0.04457894736842105,6.824279
1025195,0.04705555555555556,6.825126
1025213,0.04705555555555556,6.825973
1025232,0.04457894736842105,6.82682
1025250,0.04705555555555556,6.827667
1025268,0.04705555555555556,6.828514
1025287,0.04457894736842105,6.829361
1025305,0.04705555555555556,6.830208
1025323,0.04705555555555556,6.831055
1025342,0.04457894736842105,6.8319019999999995
1025360,0.04705555555555556,6.832749
1025378,0.04705555555555556,6.833596
1025396,0.04705555555555556,6.834443
1025414,0.04705555555555556,6.83529
1025433,0.04457894736842105,6.836137
1025452,0.04457894736842105,6.836984
1025470,0.04705555555555556,6.8378309999999995
1025488,0.04705555555555556,6.838678
1025508,0.04235,6.839525
1025525,0.049823529411764704,6.840372
1025543,0.04705555555555556,6.841219
1025562,0.04457894736842105,6.842066
1025580,0.04705555555555556,6.842913
1025598,0.04705555555555556,6.84376
1025617,0.04457894736842105,6.844607
1025635,0.04705555555555556,6.845454
1025654,0.04457894736842105,6.8463009999999995
1025672,0.04705555555555556,6.847148
1025690,0.04705555555555556,6.847995
1025709,0.04457894736842105,6.848842
1025728,0.04457894736842105,6.849689
1025746,0.04705555555555556,6.850536
1025764,0.04705555555555556,6.851383
1025784,0.04235,6.85223
1025801,0.049823529411764704,6.853077
1025819,0.04705555555555556,6.853924
1025838,0.04457894736842105,6.8547709999999995
1025856,0.04705555555555556,6.855618
1025875,0.04457894736842105,6.856465
1025894,0.04457894736842105,6.857312
1025912,0.04705555555555556,6.858159
1025930,0.04705555555555556,6.859006
1025949,0.04457894736842105,6.859853
1025967,0.04705555555555556,6.8607
1025986,0.04457894736842105,6.861547
1026005,0.04457894736842105,6.862394
1026022,0.049823529411764704,6.8632409999999995
1026041,0.04457894736842105,6.864088
1026061,0.04235,6.864935
1026079,0.04705555555555556,6.865782
1026097,0.04705555555555556,6.866629
1026116,0.04457894736842105,6.867476
1026134,0.04705555555555556,6.868323
1026152,0.04705555555555556,6.8691699999999996
1026172,0.04235,6.870017
1026190,0.04705555555555556,6.870864
1026207,0.049823529411764704,6.871711
1026226,0.04457894736842105,6.872558
1026244,0.04705555555555556,6.873405
1026262,0.04705555555555556,6.874252
1026281,0.04457894736842105,6.875099
1026299,0.04705555555555556,6.875946
1026317,0.04705555555555556,6.876793
1026336,0.04457894736842105,6.8776399999999995
1026353,0.049823529411764704,6.878487
1026372,0.04457894736842105,6.879334
1026391,0.04457894736842105,6.880181
1026409,0.04705555555555556,6.881028
1026427,0.04705555555555556,6.881875
1026446,0.04457894736842105,6.882722
1026464,0.04705555555555556,6.883569
1026483,0.04457894736842105,6.884416
1026502,0.04457894736842105,6.885263
1026520,0.04705555555555556,6.8861099999999995
1026539,0.04457894736842105,6.886957
1026558,0.04457894736842105,6.887804
1026575,0.049823529411764704,6.888651
1026594,0.04457894736842105,6.889498
1026612,0.04705555555555556,6.890345
1026630,0.04705555555555556,6.891192
1026648,0.04705555555555556,6.892039
1026667,0.04457894736842105,6.892886
1026685,0.04705555555555556,6.893733
1026703,0.04705555555555556,6.8945799999999995
1026722,0.04457894736842105,6.895427
1026740,0.04705555555555556,6.896274
1026759,0.04457894736842105,6.897121
1026778,0.04457894736842105,6.897968
1026796,0.04705555555555556,6.898815
1026814,0.04705555555555556,6.899662
1026833,0.04457894736842105,6.900509
1026852,0.04457894736842105,6.901356
1026870,0.04705555555555556,6.902203
1026889,0.04457894736842105,6.9030499999999995
1026907,0.04705555555555556,6.903897
1026925,0.04705555555555556,6.904744
1026944,0.04457894736842105,6.905591
1026963,0.04457894736842105,6.906438
1026981,0.04705555555555556,6.907285
1027000,0.04457894736842105,6.908132
1027018,0.04705555555555556,6.9089789999999995
1027037,0.04457894736842105,6.909826
1027056,0.04457894736842105,6.910673
1027074,0.04705555555555556,6.91152
1027092,0.04705555555555556,6.912367
1027111,0.04457894736842105,6.913214
1027130,0.04457894736842105,6.914061
1027148,0.04705555555555556,6.914908
1027166,0.04705555555555556,6.915755
1027184,0.04705555555555556,6.916602
1027203,0.04457894736842105,6.9174489999999995
1027222,0.04457894736842105,6.918296
1027239,0.049823529411764704,6.919143
1027258,0.04457894736842105,6.91999
1027276,0.04705555555555556,6.920837
1027294,0.04705555555555556,6.921684
1027312,0.04705555555555556,6.922531
1027331,0.04457894736842105,6.923378
1027348,0.049823529411764704,6.924225
1027367,0.04457894736842105,6.925072
1027385,0.04705555555555556,6.9259189999999995
1027403,0.04705555555555556,6.926766
1027421,0.04705555555555556,6.927613
1027440,0.04457894736842105,6.92846
1027458,0.04705555555555556,6.929307
1027476,0.04705555555555556,6.930154
1027496,0.04235,6.931001
1027513,0.049823529411764704,6.931848
1027531,0.04705555555555556,6.932695
1027549,0.04705555555555556,6.933542
1027567,0.04705555555555556,6.9343889999999995
1027585,0.04705555555555556,6.935236
1027604,0.04457894736842105,6.936083
1027621,0.049823529411764704,6.93693
1027639,0.04705555555555556,6.937777
1027657,0.04705555555555556,6.938624
1027675,0.04705555555555556,6.939471
1027693,0.04705555555555556,6.9403179999999995
1027712,0.04457894736842105,6.941165
1027729,0.049823529411764704,6.942012
1027747,0.04705555555555556,6.942859
1027766,0.04457894736842105,6.943706
1027783,0.049823529411764704,6.944553
1027801,0.04705555555555556,6.9454
1027820,0.04457894736842105,6.946247
1027837,0.049823529411764704,6.947094
1027855,0.04705555555555556,6.947941
1027874,0.04457894736842105,6.9487879999999995
1027891,0.049823529411764704,6.949635
1027909,0.04705555555555556,6.950482
1027928,0.04457894736842105,6.951329
1027945,0.049823529411764704,6.952176
1027964,0.04457894736842105,6.953023
1027982,0.04705555555555556,6.95387
1027999,0.049823529411764704,6.954717
1028017,0.04705555555555556,6.955564
1028036,0.04457894736842105,6.956411
1028053,0.049823529411764704,6.9572579999999995
1028071,0.04705555555555556,6.958105
1028089,0.04705555555555556,6.958952
1028107,0.04705555555555556,6.959799
1028125,0.04705555555555556,6.960646
1028143,0.04705555555555556,6.961493
1028161,0.04705555555555556,6.96234
1028179,0.04705555555555556,6.963187
1028198,0.04457894736842105,6.964034
1028215,0.049823529411764704,6.964881
1028233,0.04705555555555556,6.9657279999999995
1028252,0.04457894736842105,6.966575
1028269,0.049823529411764704,6.967422
1028288,0.04457894736842105,6.968269
1028306,0.04705555555555556,6.969116
1028324,0.04705555555555556,6.969963
1028343,0.04457894736842105,6.97081
1028361,0.04705555555555556,6.9716569999999995
1028378,0.049823529411764704,6.972504
1028397,0.04457894736842105,6.973351
1028416,0.04457894736842105,6.974198
1028434,0.04705555555555556,6.975045
1028452,0.04705555555555556,6.975892
1028471,0.04457894736842105,6.976739
1028488,0.049823529411764704,6.977586
1028506,0.04705555555555556,6.978433
1028525,0.04457894736842105,6.97928
1028544,0.04457894736842105,6.9801269999999995
1028562,0.04705555555555556,6.980974
1028582,0.04235,6.981821
1028600,0.04705555555555556,6.982668
1028618,0.04705555555555556,6.983515
1028637,0.04457894736842105,6.984362
1028655,0.04705555555555556,6.985209
1028674,0.04457894736842105,6.986056
1028693,0.04457894736842105,6.986903
1028711,0.04705555555555556,6.98775
1028729,0.04705555555555556,6.9885969999999995
1028748,0.04457894736842105,6.989444
1028766,0.04705555555555556,6.990291
1028784,0.04705555555555556,6.991138
1028803,0.04457894736842105,6.991985
1028821,0.04705555555555556,6.992832
1028840,0.04457894736842105,6.993679
1028859,0.04457894736842105,6.994526
1028877,0.04705555555555556,6.995373
1028895,0.04705555555555556,6.99622
1028914,0.04457894736842105,6.9970669999999995
1028932,0.04705555555555556,6.997914
1028950,0.04705555555555556,6.998761
1028969,0.04457894736842105,6.999608
1028986,0.049823529411764704,7.000455
1029005,0.04457894736842105,7.001302
1029023,0.04705555555555556,7.002149
1029041,0.04705555555555556,7.0029959999999996
1029059,0.04705555555555556,7.003843
1029078,0.04457894736842105,7.00469
1029096,0.04705555555555556,7.0055369999999995
1029114,0.04705555555555556,7.006384
1029133,0.04457894736842105,7.007231
1029151,0.04705555555555556,7.008078
1029169,0.04705555555555556,7.008925
1029189,0.04235,7.009772
1029207,0.04705555555555556,7.010619
1029226,0.04457894736842105,7.0114659999999995
1029244,0.04705555555555556,7.012313
1029262,0.04705555555555556,7.01316
1029281,0.04457894736842105,7.014007
1029300,0.04457894736842105,7.014854
1029318,0.04705555555555556,7.015701
1029337,0.04457894736842105,7.016548
1029356,0.04457894736842105,7.017395
1029375,0.04457894736842105,7.018242
1029394,0.04457894736842105,7.019089
1029414,0.04235,7.0199359999999995
1029432,0.04705555555555556,7.020783
1029451,0.04457894736842105,7.02163
1029470,0.04457894736842105,7.022477
1029489,0.04457894736842105,7.023324
1029508,0.04457894736842105,7.024171
1029528,0.04235,7.025018
1029546,0.04705555555555556,7.025865
1029565,0.04457894736842105,7.026712
1029584,0.04457894736842105,7.027559
1029603,0.04457894736842105,7.0284059999999995
1029622,0.04457894736842105,7.029253
1029641,0.04457894736842105,7.0301
1029659,0.04705555555555556,7.030947
1029678,0.04457894736842105,7.031794
1029697,0.04457894736842105,7.032641
1029716,0.04457894736842105,7.033488
1029735,0.04457894736842105,7.034335
1029754,0.04457894736842105,7.035182
